y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.001565281786321093,8.117390350568176,7.256111921581341,0.6756973507010433,-0.001150756552042238,-0.09605393260189904,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001712853418205151,8.882681655393672,7.754158045599447,0.6262103961235123,-0.001231624535457625,-0.1179703708786746,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001864390418830353,9.668536954662272,8.227058594739763,0.5777783178119661,-0.001308982429466252,-0.1421267639817894,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002019892186265637,10.47495312682141,8.673972360172826,0.5311718211553739,-0.001382692384556648,-0.1683927569343318,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002179358102831097,11.30192696864662,9.094697867056889,0.4869514639513856,-0.001452700252227646,-0.1966087699473664,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002342787535100643,12.14945519525534,9.48955643693405,0.4454852641894829,-0.001519013939943727,-0.2265902175828637,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002510179833904336,13.01753444011904,9.859274626459758,0.4069764578706155,-0.001581690112855302,-0.2581323788835346,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002681534334331159,13.90616125507758,10.20487510228769,0.3714953193895211,-0.001640817027115104,-0.2910157485237785,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002856850355731466,14.81533211035189,10.52758125227852,0.3390106735892723,-0.001696505193749889,-0.3250115950264131,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003036127201719752,15.74504339455838,10.82873781580348,0.3094184038789963,-0.001748883537104865,-0.3598874286472384,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003219364160177429,16.69529141472329,11.1097476611381,0.2825655885630782,-0.001798091561071705,-0.3954121116851627,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003406560503255829,17.66607239629828,11.37202346701563,0.2582698791672487,-0.001844277930125453,-0.4313603994676804,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003597715487378639,18.65738248317309,11.61695235784891,0.2363343574056081,-0.001887596182875243,-0.4675167708058873,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003792828353245237,19.66921773769277,11.84587128591009,0.2165584256657568,-0.001928203248270558,-0.5036784849081705,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003991898325833909,20.70157414067443,12.06005100113278,0.1987454246154356,-0.001966259728749057,-0.539657864798484,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004194924614404183,21.75444759141932,12.26068665968499,0.1827076592271128,-0.002001928602280703,-0.5752838437957245,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004401906412500711,22.82783390773295,12.4488933974505,0.1682694424612161,-0.002035374024069399,-0.6104028523462597,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004612842897956049,23.9217288259395,12.62570548053014,0.1552686694971091,-0.00206675570335582,-0.6448791615897287,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004827733232894094,25.0361280008997,12.79207792113261,0.143557351288462,-0.002096223285118976,-0.6785947895224976,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005046576563733418,26.17102700602804,12.94888970480265,0.1330014457527825,-0.002123915355720892,-0.7114490389807228,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005269372021190488,27.32642133330954,13.09694798910353,0.1234802385140301,-0.002149965077223912,-0.7433577318525745,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005496118720283327,28.50230639331869,13.23699280719256,0.1148854556401237,-0.002174509293237955,-0.7742522086622937,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005726815760335069,29.69867751523788,13.36970193869813,0.1071202312999398,-0.002197691239364576,-0.8040781663188686,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005961462224977065,30.91552994687357,13.49569571382857,0.1000980297951811,-0.002219649553791348,-0.8327944383370959,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.006200057182153218,32.15285885467869,13.61554160994985,0.09374159010619285,-0.002240502437496483,-0.8603717941355875,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.006442599684123196,33.41065932376937,13.72975856205608,0.0879819316814181,-0.002260342015616027,-0.8867917803835711,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.006689088767466322,34.68892635794506,13.83882096092804,0.08275745255764098,-0.002279235449748484,-0.9120455606130112,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.00693952345308535,35.98765487970814,13.94316233842537,0.07801310700946791,-0.002297222935909639,-0.9361326875128736,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.007193902746210679,37.30683973028578,14.0431787300953,0.07369965964878393,-0.002314311675952324,-0.9590599179262564,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.007452225636403798,38.64647566964779,14.13923174283467,0.06977304554418615,-0.002330470860063951,-0.9808402465331686,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.007714491097561615,40.00655737652908,14.23165137242744,0.06619380474269274,-0.002345649133028497,-1.00149211297563,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.007980698087920568,41.38707944845095,14.32073857285643,0.06292656562507912,-0.002359813130871622,-1.02103863642958,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.008250845550060393,42.78803640174068,14.40676761036599,0.05993962527449161,-0.002372971801300821,-1.03950687238378,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
