y/delta,y^+,u'p',v'p',w'p',nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.003406560503255829,17.66607239629828,0.6200898254915863,-0.1884386613844527,0.00382249553471187,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003597715487378639,18.65738248317309,0.6547178823825275,-0.1871612267095602,0.00389684725555169,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003792828353245237,19.66921773769277,0.6883457120059187,-0.1858104491695091,0.003966696336171693,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003991898325833909,20.70157414067443,0.7206443367328528,-0.1845010672460115,0.004032908589177741,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004194924614404183,21.75444759141932,0.7513585052800037,-0.1833274569977142,0.004096043952233533,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004401906412500711,22.82783390773295,0.7802981128087209,-0.1823635368393058,0.004156593103391385,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004612842897956049,23.9217288259395,0.8073292772762504,-0.1816638018807701,0.004215466111910956,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.004827733232894094,25.0361280008997,0.8323653053385773,-0.1812651147126215,0.004274083739198969,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005046576563733418,26.17102700602804,0.8553578709435633,-0.1811888935107169,0.004333893005821196,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005269372021190488,27.32642133330954,0.8762888717331604,-0.181443481524361,0.004395822117035915,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005496118720283327,28.50230639331869,0.8951636184104389,-0.1820264316810299,0.004460213207031574,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005726815760335069,29.69867751523788,0.9120060710566916,-0.1829264915798388,0.004527319310061552,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.005961462224977065,30.91552994687357,0.9268556958194748,-0.1841252935204171,0.00459790376015636,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.006200057182153218,32.15285885467869,0.9397642707293984,-0.1855988921908022,0.004673088633153898,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.006442599684123196,33.41065932376937,0.950792477889935,-0.1873193559781424,0.004753605325747352,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.006689088767466322,34.68892635794506,0.960007553822906,-0.189256338033538,0.004839848285804238,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.00693952345308535,35.98765487970814,0.9674824484235036,-0.1913784328093985,0.004932290630707993,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.007193902746210679,37.30683973028578,0.9732963727368094,-0.1936543688746903,0.005030758652066623,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.007452225636403798,38.64647566964779,0.9775351900577544,-0.1960539774440322,0.00513366977401191,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.007714491097561615,40.00655737652908,0.980288905570936,-0.1985487588143212,0.005238164396118394,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.007980698087920568,41.38707944845095,0.981647777959244,-0.2011121045231369,0.005340776900968813,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.008250845550060393,42.78803640174068,0.9817014297606182,-0.2037193427642635,0.005438355126809111,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.008524932410908903,44.20942267155626,0.9805404303807944,-0.2063476440624911,0.005528928756668445,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.008802957581745874,45.65123261190661,0.978256804691626,-0.2089759836797218,0.005612664124413045,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.00908491995820726,47.11346049567336,0.9749428244378588,-0.2115850787782205,0.00569136333778609,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.00937081842028975,48.59610051463453,0.9706895168190944,-0.2141573035249671,0.005767178452570824,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.009660651832355647,50.09914677948984,0.9655861548590068,-0.2166769749364457,0.005841556660617846,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
