TSNE1,TSNE2,TSNE3,k
0.04623724,15.362443,0.68342537,4.708733006923021
-0.07363224,15.445186,0.7374063,4.702777240756949
-0.19750744,15.525903,0.793813,4.696887986724231
-0.3216238,15.598839,0.845243,4.691059060786349
-0.45376286,15.662915,0.8978384,4.685285265966733
-0.58063424,15.73944,0.95093083,4.679561967738851
-0.7140672,15.793821,1.001162,4.673884423153011
-0.85132045,15.847818,1.0518781,4.668247381545463
-0.97728777,15.899957,1.1005542,4.662645374092793
-1.115145,15.9423,1.1473209,4.657073081487045
-1.2623152,15.984096,1.1967893,4.651525460796208
-1.4071515,16.024311,1.2443585,4.645997938355579
-1.5536153,16.062243,1.2931712,4.640486644151995
-1.7046778,16.084507,1.3395853,4.63498832869074
-1.8535628,16.108887,1.3860012,4.629500416474206
-1.9971693,16.13997,1.4325906,4.624020863816114
-2.148639,16.151325,1.4760524,4.618547416405391
-2.2876418,16.162914,1.516747,4.613077347640917
-2.4415991,16.175571,1.5605265,4.607607861020497
-2.596219,16.17581,1.6027033,4.602136602416019
-2.7462964,16.178322,1.6431056,4.596661657516968
-2.8970013,16.171328,1.6839767,4.591181428051226
-3.040871,16.170279,1.7230104,4.585694414520197
-3.1854568,16.15756,1.7594995,4.580198831102727
-3.3389015,16.14116,1.7985175,4.574692908036457
-3.4915385,16.124176,1.8364942,4.569175063416589
-3.64329,16.098745,1.8731472,4.563643860445024
-3.7926352,16.071949,1.9092333,4.558097947199003
-3.9325666,16.05155,1.944035,4.552536074178791
-4.0781126,16.025145,1.9795254,4.546957531097375
-4.229752,15.987925,2.0140784,4.541361765263336
-4.3760757,15.950819,2.0486887,4.535748154987885
-4.525871,15.914416,2.0838237,4.53011640735012
-4.6711717,15.872988,2.1168327,4.524466443053337
-4.811634,15.829541,2.1498516,4.518798072570958
-4.9559455,15.784888,2.1834636,4.513110629261989
-5.097671,15.738406,2.2164109,4.507403129777201
-5.2417,15.69079,2.2500548,4.501674537343458
-5.3844047,15.63797,2.283427,4.495924071578791
-5.525216,15.590146,2.3169713,4.490151207710674
-5.662159,15.527896,2.347861,4.484355705227959
-5.7974067,15.485578,2.381724,4.478537173987785
-5.943085,15.426929,2.4161363,4.472694742992226
-6.0821476,15.3651905,2.4492264,4.46682729150047
-6.2236757,15.306876,2.4844387,4.460933669169931
-6.358415,15.248515,2.5185487,4.455013033875001
-6.4952374,15.184229,2.5527885,4.449065049228748
-6.6306515,15.122721,2.587009,4.443089719941959
-6.771939,15.059669,2.623917,4.437087421135375
-6.9073377,14.987895,2.659189,4.431059064020869
-7.044845,14.925667,2.6955109,4.425005760586835
-7.1769257,14.859247,2.7306478,4.418928634336565
-7.312887,14.794741,2.7684016,4.412828671224626
-7.451278,14.722886,2.8043892,4.406706943808955
-7.5796,14.640834,2.8390312,4.400564557181556
-7.720252,14.575328,2.8829823,4.394401918781694
-7.8565273,14.508502,2.9208708,4.388218717976319
-7.9832087,14.430069,2.959879,4.382014583257759
-8.119438,14.354695,2.9980114,4.375789383199685
-8.250306,14.276718,3.0373833,4.369543142090627
-8.38304,14.199929,3.0774426,4.363276011393908
-8.504123,14.1277895,3.114806,4.356988134343121
-8.635436,14.048101,3.154311,4.350679934356291
-8.758045,13.973818,3.1944036,4.344352783448409
-8.887392,13.889185,3.23696,4.338008239632732
-9.01498,13.799211,3.274466,4.331646762021567
-9.143441,13.718743,3.3142245,4.325267887081085
-9.270053,13.636868,3.3560297,4.318871526443385
-9.395397,13.536063,3.4010556,4.312458072633249
-9.5069,13.464231,3.4357805,4.30602807222788
-9.629174,13.376471,3.4742508,4.29958168718813
-9.748389,13.288328,3.5135648,4.29311812136402
-9.871721,13.192282,3.5565908,4.286637019118662
-9.991421,13.098847,3.6002722,4.280138633749627
-10.111262,13.006686,3.6359184,4.273623031617388
-10.230023,12.910501,3.6774588,4.267090377397283
-10.347252,12.811222,3.714699,4.260541296189251
-10.463868,12.71335,3.754802,4.253976862033396
-10.57484,12.6124115,3.7929358,4.247397678828731
-10.68961,12.509391,3.8323925,4.240803906234805
-10.80031,12.403022,3.8709545,4.234196229624682
-10.911647,12.2977915,3.908039,4.227575294021936
-11.011724,12.198619,3.9406548,4.220941077319728
-11.112865,12.092717,3.9730828,4.214293101829435
