y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
2.059765673623204e-05,0.004520751555384802,0.004520751555331789,0.999999999914279,1.197326112209808e-07,-7.403340326338146e-14,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.0001029823439926414,0.02260245414047382,0.0226024540701283,0.9999999874698342,5.98628420093418e-07,-4.6000370517103006e-11,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.000288325618200469,0.06328139669617082,0.06328139230078351,0.9999997213231152,1.676012209485048e-06,-2.7907718447313252e-09,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.000617769345912289,0.1355873518607302,0.1355872583557896,0.9999972322019862,3.591016465259179e-06,-5.749781223627129e-08,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.001132413839837088,0.2485409720794912,0.248539905863788,0.9999827538810874,6.582419474481799e-06,-6.265772245774422e-07,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.001873306006858533,0.4111511883446703,0.4111431029305692,0.9999207429717074,1.088819427810118e-05,-4.459720800207398e-06,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.002881427511453483,0.6324126123151812,0.6323666511751659,0.9997062796824192,1.674415081656607e-05,-2.330669301823248e-05,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.004177085301188321,0.9167821910103596,0.9165756954214408,0.999087675781836,2.426085090884609e-05,-9.432575200853136e-05,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.005759905750861605,1.264177921572687,1.263418703125286,0.9975662603670676,3.34172254348055e-05,-0.0003070057516818597,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.007629432426981109,1.674499626470013,1.672130430067872,0.994281258592927,4.41693720279208e-05,-0.0008365852156742871,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.009785126219384543,2.147628982383531,2.141170999916876,0.9879317535925785,5.643292372648979e-05,-0.001972965933604136,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
