y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau,u'u',v'v',w'w',u'v',u'w',v'w',k,u'p',v'p',w'p'
0.2044390555549258,18.99495125277351,11.58022906997567,0.2212783748776401,4.327884082325698e-06,-0.4853843664361783,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,7.277681960876691,0.4853843664361783,1.689559306904205,-0.7787490459094211,0.0005002948624231,-7.93022252105901e-05,4.726312817108537,0.5554886173921091,-0.1447253886785827,-0.0011975056090163
0.2203782508459474,20.47590232026682,11.8879374819304,0.1950814688223443,-6.694123371916397e-05,-0.5391341214511248,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,7.091546459448804,0.5391341214511248,1.734671330678713,-0.8049467944033213,0.0003794632208708,-8.633841544046973e-05,4.682675955789321,0.589369925231754,-0.1392670196372442,-0.0012666891556274
0.2368429652961714,22.00568070592766,12.1686263969101,0.172575569334265,-0.0001492917586647,-0.5924705637625418,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,6.88709488158496,0.5924705637625418,1.773066769831476,-0.8274533053877892,0.0002832092149791,-9.111546570382428e-05,4.626316107589489,0.6190554839211095,-0.1338038218678873,-0.0013008702601622
0.253822100545523,23.58325523296822,12.42517511506499,0.1532572113241309,-0.0002393973600757,-0.6448415563422154,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,6.672486148285023,0.6448415563422154,1.805197980492232,-0.8467721753448473,0.0002098669669135,-9.347572080236428e-05,4.561262842559735,0.6440841940958423,-0.128561532230539,-0.0013062059525525
0.2713042114786114,25.2075625066847,12.66023788475433,0.1366739044470831,-0.0003335070570233,-0.695780400044685,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,6.454150696666738,0.695780400044685,1.831591014944528,-0.8633558289902211,0.0001595481744138,-9.366922872938863e-05,4.490761055827976,0.6642379782708193,-0.1236797021435687,-0.0012911423173483
0.2892775139395317,26.87750763125906,12.87622870895101,0.1224303092331818,-0.0004277636322445,-0.7449084015976436,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,6.237022013079669,0.7449084015976436,1.852802551339494,-0.877599222543145,0.0001321657821288,-9.182946267729972e-05,4.417366483008403,0.6794716724206742,-0.1192219096108964,-0.0012695128497706
0.3077298926752047,28.59196494779491,13.07532579719407,0.1101862489673051,-0.0005186632186724,-0.7919324032412816,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,6.024776688569626,0.7919324032412816,1.869387462988669,-0.8898421095001176,0.0001255007822782,-8.856649910019481e-05,4.343048277399788,0.689849296663401,-0.1151927597695634,-0.0012546098804226
0.326648909501897,30.34977879308962,13.25948409913654,0.0996502024102099,-0.0006042378512493,-0.836638404027697,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,5.820066159034,0.836638404027697,1.881880373022876,-0.9003760304966141,0.0001378090707452,-8.521783295750174e-05,4.269292468042287,0.6955102526040766,-0.1115576633624486,-0.001248204315532
0.3460218116894204,32.14976427863149,13.43044992026486,0.0905725436511749,-0.0006842354370365,-0.8788825874141499,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,5.624722247517802,0.8788825874141499,1.890784766712907,-0.909450920365296,0.0001699423030786,-8.22786441461671e-05,4.197194800822429,0.696657642029744,-0.1082601711280196,-0.0012442769915591
0.3658355405573572,33.99070808929695,13.58977676568553,0.0827401758699087,-0.0007583698863611,-0.9185814666629576,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,5.439932036734932,0.9185814666629576,1.896568331174824,-0.9172799276051204,0.0002216594218446,-7.906202035837689e-05,4.127540917286357,0.6935479326261295,-0.1052331335546203,-0.0012428976249027
