y/delta,y^+,u'p',v'p',w'p',nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.02848840068147995,2.646929573927749,0.2517393108680803,-0.04290020378676838,-3.771687623573455e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.03481896092001469,3.235117984441154,0.273190053402784,-0.05588165908628623,-4.657906868620899e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.04180012015567314,3.883755198153751,0.285939126246793,-0.06973282840064561,-5.710893421492099e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.04942717260268714,4.592403988572638,0.2905640786173677,-0.08396289311906661,-6.98066020979899e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0576949770984434,5.360586677237812,0.2891596988459421,-0.09809660419339118,-8.514958614719494e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.06659796056898437,6.187785455710644,0.284955735476242,-0.1116762524960263,-0.0001037946995521597,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.07613012178564638,7.073442734612656,0.2816615082480754,-0.1242544624840878,-0.0001272366497875614,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0862850354103043,8.016961519479471,0.2827162188720491,-0.1353970100192031,-0.0001587688577611532,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.09705585632649548,9.017705813176516,0.2906544168858673,-0.1447068774515321,-0.000204162685759487,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.108435324253503,10.0750010446052,0.3067440666219569,-0.1518668836868299,-0.0002709025232218249,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
