nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
        45, 0.000000000E+00,-9.005761147E-01,-3.469446952E-18, 2.057172358E-01, 6.432203054E-01, 7.777878083E-03, 1.909263665E-03, 4.546826705E-03,-1.902939868E-03, 0.000000000E+00, 1.486994267E+00
        46,-4.336808690E-19,-8.979234695E-01, 0.000000000E+00, 2.082328200E-01, 6.471163034E-01, 7.749275304E-03, 1.907221042E-03, 4.529543221E-03,-1.898088725E-03, 0.000000000E+00, 1.450489402E+00
        47, 0.000000000E+00,-8.952708244E-01, 0.000000000E+00, 2.107021660E-01, 6.509178877E-01, 7.720687892E-03, 1.905078418E-03, 4.512278363E-03,-1.893197186E-03, 0.000000000E+00, 1.415731311E+00
        48, 0.000000000E+00,-8.926181793E-01, 0.000000000E+00, 2.131271064E-01, 6.546294689E-01, 7.692123298E-03, 1.902841032E-03, 4.495036788E-03,-1.888268162E-03, 0.000000000E+00, 1.382623196E+00
        49, 0.000000000E+00,-8.899655342E-01, 0.000000000E+00, 2.155094743E-01, 6.582552195E-01, 7.663588971E-03, 1.900513889E-03, 4.477824084E-03,-1.883304678E-03, 0.000000000E+00, 1.351090431E+00
        50, 0.000000000E+00,-8.873128295E-01, 0.000000000E+00, 2.178509831E-01, 6.617993116E-01, 7.635092363E-03, 1.898101880E-03, 4.460643977E-03,-1.878308598E-03, 0.000000000E+00, 1.320993543E+00
        51, 0.000000000E+00,-8.846601844E-01, 0.000000000E+00, 2.201532125E-01, 6.652653217E-01, 7.606637664E-03, 1.895608846E-03, 4.443500191E-03,-1.873282017E-03, 0.000000000E+00, 1.292270422E+00
        52, 0.000000000E+00,-8.820075393E-01, 0.000000000E+00, 2.224177718E-01, 6.686568260E-01, 7.578230463E-03, 1.893038861E-03, 4.426396452E-03,-1.868227264E-03, 0.000000000E+00, 1.264823675E+00
        53, 0.000000000E+00,-8.793548942E-01, 0.000000000E+00, 2.246459424E-01, 6.719770432E-01, 7.549874485E-03, 1.890395302E-03, 4.409335554E-03,-1.863145735E-03, 0.000000000E+00, 1.238482952E+00
        54, 0.000000000E+00,-8.767022491E-01, 0.000000000E+00, 2.268390059E-01, 6.752288342E-01, 7.521573920E-03, 1.887681894E-03, 4.392318893E-03,-1.858039061E-03, 0.000000000E+00, 1.213213086E+00
        55, 4.336808690E-19,-8.740496039E-01, 0.000000000E+00, 2.289981544E-01, 6.784149408E-01, 7.493332028E-03, 1.884901663E-03, 4.375349730E-03,-1.852908870E-03, 0.000000000E+00, 1.188983321E+00
        56, 0.000000000E+00,-8.713968992E-01, 0.000000000E+00, 2.311246097E-01, 6.815381050E-01, 7.465151139E-03, 1.882057171E-03, 4.358428530E-03,-1.847756561E-03, 0.000000000E+00, 1.165758848E+00
        57, 0.000000000E+00,-8.687442541E-01, 0.000000000E+00, 2.332195342E-01, 6.846008301E-01, 7.437032647E-03, 1.879151445E-03, 4.341556691E-03,-1.842583297E-03, 0.000000000E+00, 1.143451691E+00
        58, 0.000000000E+00,-8.660916090E-01, 0.000000000E+00, 2.352839857E-01, 6.876055002E-01, 7.408978418E-03, 1.876187045E-03, 4.324736074E-03,-1.837390126E-03, 0.000000000E+00, 1.121999741E+00
        59, 0.000000000E+00,-8.634389639E-01, 0.000000000E+00, 2.373190224E-01, 6.905544400E-01, 7.380989380E-03, 1.873165951E-03, 4.307966679E-03,-1.832178095E-03, 0.000000000E+00, 1.101355553E+00
        60, 0.000000000E+00,-8.607863188E-01, 0.000000000E+00, 2.393254936E-01, 6.934496164E-01, 7.353068795E-03, 1.870090840E-03, 4.291251302E-03,-1.826948486E-03, 0.000000000E+00, 1.081448555E+00
        61, 0.000000000E+00,-8.581336737E-01, 0.000000000E+00, 2.413042486E-01, 6.962927580E-01, 7.325219922E-03, 1.866964623E-03, 4.274589941E-03,-1.821702812E-03, 0.000000000E+00, 1.062226295E+00
        62, 0.000000000E+00,-8.554810286E-01, 0.000000000E+00, 2.432561517E-01, 6.990859509E-01, 7.297441829E-03, 1.863789046E-03, 4.257983528E-03,-1.816441538E-03, 0.000000000E+00, 1.043702483E+00
        63, 0.000000000E+00,-8.528283238E-01, 0.000000000E+00, 2.451820076E-01, 7.018308640E-01, 7.269733120E-03, 1.860565506E-03, 4.241432063E-03,-1.811165130E-03, 0.000000000E+00, 1.025823355E+00
        64, 0.000000000E+00,-8.501756787E-01, 0.000000000E+00, 2.470826209E-01, 7.045291066E-01, 7.242095191E-03, 1.857295632E-03, 4.224934615E-03,-1.805874519E-03, 0.000000000E+00, 1.008579731E+00
        65, 0.000000000E+00,-8.475230336E-01, 0.000000000E+00, 2.489587814E-01, 7.071824074E-01, 7.214528508E-03, 1.853980822E-03, 4.208492115E-03,-1.800569822E-03, 0.000000000E+00, 9.919468164E-01
        66, 0.000000000E+00,-8.448703885E-01, 0.000000000E+00, 2.508111894E-01, 7.097923160E-01, 7.187034469E-03, 1.850623288E-03, 4.192106426E-03,-1.795252552E-03, 0.000000000E+00, 9.758228064E-01
        67, 0.000000000E+00,-8.422177434E-01, 0.000000000E+00, 2.526404560E-01, 7.123601437E-01, 7.159614004E-03, 1.847224310E-03, 4.175775219E-03,-1.789923408E-03, 0.000000000E+00, 9.602080584E-01
        68, 1.734723476E-18,-8.395650983E-01, 0.000000000E+00, 2.544472218E-01, 7.148871422E-01, 7.132264785E-03, 1.843785401E-03, 4.159499891E-03,-1.784582390E-03, 0.000000000E+00, 9.450724125E-01
        69, 0.000000000E+00,-8.369123936E-01,-3.469446952E-18, 2.562320232E-01, 7.173746228E-01, 7.104988210E-03, 1.840308076E-03, 4.143280908E-03,-1.779230777E-03, 0.000000000E+00, 9.303969145E-01
        70, 0.000000000E+00,-8.342597485E-01, 0.000000000E+00, 2.579955459E-01, 7.198238373E-01, 7.077785209E-03, 1.836793497E-03, 4.127117805E-03,-1.773868920E-03, 0.000000000E+00, 9.161989689E-01
        71, 0.000000000E+00,-8.316071033E-01, 0.000000000E+00, 2.597382665E-01, 7.222359776E-01, 7.050655317E-03, 1.833242830E-03, 4.111010581E-03,-1.768497052E-03, 0.000000000E+00, 9.024361372E-01
