nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
        52, 0.000000000E+00,-9.434688091E-01, 0.000000000E+00, 1.978197545E-01, 6.306179762E-01, 7.030949462E-03, 1.661960501E-03, 4.132626113E-03,-1.686898759E-03, 0.000000000E+00, 2.347087145E+00
        53, 0.000000000E+00,-9.421520233E-01, 0.000000000E+00, 1.997526288E-01, 6.336749792E-01, 7.017542608E-03, 1.661535120E-03, 4.124288447E-03,-1.684943913E-03, 0.000000000E+00, 2.296181440E+00
        54, 0.000000000E+00,-9.408352375E-01, 0.000000000E+00, 2.016531676E-01, 6.366665363E-01, 7.004125975E-03, 1.661069458E-03, 4.115946591E-03,-1.682972070E-03, 0.000000000E+00, 2.247539043E+00
        55, 2.168404345E-19,-9.395184517E-01, 0.000000000E+00, 2.035225928E-01, 6.395953298E-01, 6.990707014E-03, 1.660566078E-03, 4.107605666E-03,-1.680984511E-03, 0.000000000E+00, 2.200947762E+00
        56, 0.000000000E+00,-9.382016659E-01,-6.938893904E-18, 2.053619921E-01, 6.424640417E-01, 6.977286655E-03, 1.660025911E-03, 4.099266604E-03,-1.678981585E-03, 0.000000000E+00, 2.156192780E+00
        57, 0.000000000E+00,-9.368849397E-01, 0.000000000E+00, 2.071724534E-01, 6.452750564E-01, 6.963870488E-03, 1.659451053E-03, 4.090934526E-03,-1.676964574E-03, 0.000000000E+00, 2.113278389E+00
        58, 1.951563910E-18,-9.355681539E-01, 0.000000000E+00, 2.089549750E-01, 6.480306387E-01, 6.950461306E-03, 1.658842782E-03, 4.082609899E-03,-1.674934640E-03, 0.000000000E+00, 2.072134972E+00
        59, 8.673617380E-19,-9.342513680E-01, 0.000000000E+00, 2.107105553E-01, 6.507332325E-01, 6.937060971E-03, 1.658202033E-03, 4.074294120E-03,-1.672892133E-03, 0.000000000E+00, 2.032651663E+00
        60,-2.168404345E-19,-9.329345822E-01, 0.000000000E+00, 2.124401033E-01, 6.533846855E-01, 6.923671812E-03, 1.657529967E-03, 4.065989517E-03,-1.670837402E-03, 0.000000000E+00, 1.994653702E+00
        61, 1.517883041E-18,-9.316177964E-01, 0.000000000E+00, 2.141445279E-01, 6.559870839E-01, 6.910295691E-03, 1.656827633E-03, 4.057695158E-03,-1.668771147E-03, 0.000000000E+00, 1.958031654E+00
